partyid,Weight,Volume,cat,cat2
23029,15,1,AW,GT
15457,"1,788",287,AW,Upcountry
23029,"2,514",426,AW,GT
23688,"2,287",405,AW,GT
25110,5,0,AW,GT
25110,"1,081",180,AW,GT
22196,859,134,AW,GT
23717,843,127,AW,GT
24170,659,100,AW,GT
22693,87,5,AW,GT
22693,"1,249",215,AW,GT
23711,"2,093",360,AW,GT
24051,61,5,AW,GT
24051,"1,488",256,AW,GT
2651,"2,757",473,AW,GT
23894,54,4,AW,GT
23894,14,2,AW,GT
24698,763,130,AW,GT
23894,"1,076",180,AW,GT
958,"1,302",222,AW,GT
25152,"4,173",702,AW,GT
24444,"2,445",421,AW,GT
16730,"2,864",523,AD,ACD
16730,72,10,AD,ACD
23895,"2,759",465,AW,GT
22803,"1,757",299,AW,GT
23688,"2,740",440,AW,GT
21316,"3,910",677,AW,GT
24394,"1,900",337,MT,Upcountry
24394,471,78,MT,Upcountry
22861,"2,392",408,AW,Upcountry
23716,"3,126",534,AW,Upcountry
25038,"1,818",296,AW,Upcountry
23348,376,26,MT,MT
23348,"1,819",320,MT,MT
23348,335,53,MT,MT
24172,190,13,MT,MT
24172,"3,196",531,MT,MT
24172,278,45,MT,MT
24172,14,1,MT,MT
19413,"1,446",257,AW,Upcountry
19413,548,95,AW,Upcountry
940,"1,487",254,AW,Upcountry
4425,"1,691",323,AW,Upcountry
4425,741,127,AW,Upcountry
940,"1,148",211,AW,Upcountry
22820,"1,680",312,AW,Upcountry
22820,542,89,AW,Upcountry
21367,"1,993",326,MT,Upcountry
21367,374,50,MT,Upcountry
23640,"1,263",228,AW,Upcountry
23640,852,155,AW,Upcountry
17606,360,54,AW,Upcountry
17606,"3,925",648,AW,Upcountry
6410,17,3,AW,Upcountry
6410,"2,471",403,AW,Upcountry
6410,289,45,AW,Upcountry
25167,"1,982",305,AW,Upcountry
14363,"2,267",368,AD,ACD
25181,"3,281",554,AW,Upcountry
21987,"3,096",510,MT,MT
18240,"1,521",250,AW,Upcountry
23452,"1,123",195,AW,Upcountry
18240,2,1,AW,Upcountry
23080,72,7,MT,MT
23080,"2,419",394,MT,MT
23080,495,79,MT,MT
23080,27,8,MT,MT
23080,"1,428",296,MT,MT
23080,69,12,MT,MT
