f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
0,23029,99999,3060,3061,2781,2111,1931,1224,39,68,,AW,,GT
0,15457,99999,3060,3061,2781,2111,1931,1224,38,67,,AW,,Upcountry
0,23688,99999,3060,3061,2781,2111,1931,1224,24,43,,AW,,GT
0,25110,99999,99999,99999,99999,2450,99999,99999,20,36,,AW,,GT
0,22196,99999,3060,3061,2781,2111,1931,1224,40,70,,AW,,GT
0,23717,99999,3060,3061,2781,2111,1931,1224,55,96,,AW,,GT
0,24170,99999,3060,3061,2781,2111,1931,1224,42,73,,AW,,GT
0,22693,99999,3060,3061,2781,2111,1931,1224,45,79,,AW,,GT
0,23711,99999,3060,3061,2781,2111,1931,1224,33,58,,AW,,GT
0,24051,99999,3060,3061,2781,2111,1931,1224,43,75,,AW,,GT
0,2651,99999,3060,3061,2781,2111,1931,1224,45,78,,AW,,GT
0,23894,99999,3060,3061,2781,2111,1931,1224,46,81,,AW,,GT
0,24698,99999,3060,3061,2781,2111,1931,1224,36,64,,AW,,GT
0,958,99999,3060,3061,2781,2111,1931,1224,55,95,,AW,,GT
0,25152,99999,3060,3061,2781,2111,1931,1224,27,48,,AW,,GT
0,24444,99999,3060,3061,2781,2111,1931,1224,24,43,,AW,,GT
0,16730,99999,3060,3061,2781,2111,1931,1224,24,43,,AD,,ACD
0,23895,99999,3060,3061,2781,2111,1931,1224,50,88,,AW,,GT
0,22803,99999,3060,3061,2781,2111,1931,1224,27,48,,AW,,GT
0,21316,99999,3060,3061,2781,2111,1931,1224,51,89,,AW,,GT
0,24394,99999,4283,4283,3902,3110,99999,99999,126,217,,MT,,Upcountry
0,22861,99999,3775,3776,3435,2450,2189,1529,48,84,,AW,,Upcountry
0,23716,99999,9762,9763,8898,6268,99999,99999,317,545,,AW,,Upcountry
0,25038,99999,3775,3776,3435,2450,2189,1529,46,81,,AW,,Upcountry
0,23348,99999,3060,3061,2781,2111,1931,1224,32,56,,MT,,MT
0,24172,99999,3060,3061,2781,2111,1931,1224,37,64,,MT,,MT
0,19413,99999,5302,5302,4822,3852,99999,99999,73,126,,AW,,Upcountry
0,940,99999,4283,99999,99999,3110,99999,99999,118,203,,AW,,Upcountry
0,4425,99999,4080,4080,3708,2995,99999,99999,39,69,,AW,,Upcountry
0,22820,99999,7306,7306,6650,4689,99999,99999,162,279,,AW,,Upcountry
0,21367,99999,9711,9712,8857,6058,99999,99999,347,597,,MT,,Upcountry
0,23640,99999,4283,99999,99999,99999,99999,99999,120,208,,AW,,Upcountry
0,17606,99999,5110,5110,4648,3710,99999,99999,98,170,,AW,,Upcountry
0,6410,99999,4032,4032,3669,2785,99999,99999,96,165,,AW,,Upcountry
0,25167,99999,5110,5110,4648,3710,99999,99999,98,170,,AW,,Upcountry
0,14363,99999,3060,3061,2781,2111,1931,1224,32,56,,AD,,ACD
0,25181,99999,99999,99999,4781,99999,99999,99999,229,394,,AW,,Upcountry
0,21987,99999,3060,3061,2781,2111,1931,1224,36,63,,MT,,MT
0,18240,99999,3195,3196,2905,2022,99999,99999,26,45,,AW,,Upcountry
0,23452,99999,4528,4528,4119,3286,99999,99999,86,148,,AW,,Upcountry
0,23080,99999,3775,3776,3435,2450,2189,1529,48,84,,MT,,MT
23029,15457,99999,99999,99999,99999,99999,99999,99999,3,7,AW,AW,GT,Upcountry
23029,23688,99999,900,900,900,900,900,900,19,33,AW,AW,GT,GT
23029,25110,99999,900,900,900,900,900,900,19,35,AW,AW,GT,GT
23029,22196,99999,900,900,900,900,900,900,17,31,AW,AW,GT,GT
23029,23717,99999,900,900,900,900,900,900,13,24,AW,AW,GT,GT
23029,24170,99999,900,900,900,900,900,900,9,16,AW,AW,GT,GT
23029,22693,99999,900,900,900,900,900,900,26,45,AW,AW,GT,GT
23029,23711,99999,900,900,900,900,900,900,7,13,AW,AW,GT,GT
23029,24051,99999,900,900,900,900,900,900,26,46,AW,AW,GT,GT
