f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
0,21316,99999,3060,3061,2781,2111,1931,1224,51,89,,AW,,GT
0,15865,99999,3775,3776,3435,2450,2189,1529,46,81,,MT,,MT
0,25110,99999,99999,99999,99999,2450,99999,99999,20,36,,AW,,GT
0,22196,99999,3060,3061,2781,2111,1931,1224,40,70,,AW,,GT
0,23717,99999,3060,3061,2781,2111,1931,1224,55,96,,AW,,GT
0,24170,99999,3060,3061,2781,2111,1931,1224,42,73,,AW,,Upcountry
0,25038,99999,3775,3776,3435,2450,2189,1529,46,81,,AW,,Upcountry
0,23894,99999,3060,3061,2781,2111,1931,1224,46,81,,AW,,GT
0,24698,99999,3060,3061,2781,2111,1931,1224,36,64,,AW,,Upcountry
0,22693,99999,3060,3061,2781,2111,1931,1224,45,79,,AW,,GT
0,24051,99999,3060,3061,2781,2111,1931,1224,43,75,,AW,,Upcountry
0,22803,99999,3060,3061,2781,2111,1931,1224,27,48,,AW,,GT
0,15457,99999,3060,3061,2781,2111,1931,1224,38,67,,AW,,Upcountry
0,23029,99999,3060,3061,2781,2111,1931,1224,39,68,,AW,,GT
0,23688,99999,3060,3061,2781,2111,1931,1224,24,43,,AW,,Upcountry
0,958,99999,3060,3061,2781,2111,1931,1224,55,95,,AW,,GT
0,2651,99999,3060,3061,2781,2111,1931,1224,45,78,,AW,,GT
0,24444,99999,3060,3061,2781,2111,1931,1224,24,43,,AW,,Upcountry
0,23711,99999,3060,3061,2781,2111,1931,1224,33,58,,AW,,GT
0,25058,99999,99999,99999,2781,2110,99999,99999,41,71,,AW,,GT
0,25152,99999,3060,3061,2781,2111,1931,1224,27,48,,AW,,Upcountry
0,15822,99999,4080,4080,3708,2995,99999,99999,39,69,,AW,,Upcountry
0,939,99999,3562,3563,3241,2618,99999,99999,197,338,,AW,,Upcountry
0,19288,99999,6330,6331,5761,4597,99999,99999,141,243,,AW,,Upcountry
0,15459,99999,10736,10736,9783,6625,99999,99999,312,537,,AW,,Upcountry
0,19507,99999,10798,10799,9843,6688,99999,99999,367,630,,AW,,Upcountry
