partyid,Weight,Volume,cat,cat2
21316, 17 ,1,AW,GT
21316," 2,354 ",400,AW,GT
15865, 414 ,70,MT,MT
25110, 30 ,2,AW,GT
22196, 5 ,0,AW,GT
22196," 1,401 ",242,AW,GT
25110," 1,468 ",252,AW,GT
23717, 5 ,1,AW,GT
23717, 941 ,163,AW,GT
24170, 993 ,168,AW,Upcountry
25038, 5 ,0,AW,Upcountry
25038, 879 ,143,AW,Upcountry
23894, 759 ,148,AW,GT
24698," 1,521 ",267,AW,Upcountry
22693, 48 ,3,AW,GT
22693," 1,663 ",281,AW,GT
24051," 2,584 ",443,AW,Upcountry
22803," 1,789 ",318,AW,GT
15457, 34 ,3,AW,Upcountry
15457," 1,826 ",318,AW,Upcountry
23029," 1,259 ",215,AW,GT
21316," 2,445 ",412,AW,GT
23688," 2,353 ",417,AW,Upcountry
958, 108 ,8,AW,GT
958," 1,924 ",310,AW,GT
2651," 2,334 ",402,AW,GT
24444, 28 ,4,AW,Upcountry
24444," 1,178 ",200,AW,Upcountry
23711," 2,639 ",473,AW,GT
25058," 3,435 ",593,AW,GT
25152," 3,824 ",651,AW,Upcountry
15822," 2,335 ",413,AW,Upcountry
939," 3,173 ",559,AW,Upcountry
15822, 372 ,64,AW,Upcountry
15822," 2,045 ",357,AW,Upcountry
19288," 2,569 ",437,AW,Upcountry
15459, 473 ,79,AW,Upcountry
15459, 590 ,103,AW,Upcountry
19507," 1,721 ",284,AW,Upcountry
19507, 658 ,111,AW,Upcountry
6882," 1,267 ",235,MT,MT
6882, 241 ,40,MT,MT
6882, 5 ,1,MT,MT
6882, 16 ,2,MT,MT
6882, 400 ,69,MT,MT
6882," 1,475 ",194,MT,MT
6882, 22 ,6,MT,MT
6882, 54 ,7,MT,MT
940, 122 ,19,AW,Upcountry
940," 2,261 ",435,AW,Upcountry
25152," 2,675 ",461,AW,Upcountry
25152, 998 ,173,AW,Upcountry
6409," 3,106 ",559,AW,Upcountry
22883," 1,237 ",209,AW,Upcountry
22883, 809 ,135,AW,Upcountry
21342, 777 ,124,AW,Upcountry
21342, 543 ,85,AW,Upcountry
944, 51 ,5,AW,Upcountry
944," 3,775 ",645,AW,Upcountry
944, 382 ,76,AW,Upcountry
23592, 956 ,161,AW,Upcountry
23592," 2,089 ",374,AW,Upcountry
6882, 120 ,23,MT,MT
6882, 57 ,12,MT,MT
6882, 630 ,108,MT,MT
6882, 227 ,30,MT,MT
6882," 3,757 ",564,MT,MT
16094," 3,514 ",566,AW,Upcountry
23326, 493 ,100,AD,Upcountry
12238," 1,947 ",326,AW,Upcountry
11149," 2,097 ",357,AW,Upcountry
11149, 2 ,1,AW,Upcountry
941," 4,600 ",740,AW,Upcountry
22043," 3,308 ",586,AW,Upcountry
22043, 675 ,126,AW,Upcountry
23761, 165 ,28,MT,MT
23761," 1,915 ",386,MT,MT
23761, 122 ,25,MT,MT
19972," 1,328 ",223,AW,Upcountry
23452, 839 ,142,AW,Upcountry
23916," 1,012 ",160,AW,Upcountry
21769," 1,041 ",175,AW,Upcountry
21986," 1,866 ",322,AW,Upcountry
21769, 2 ,1,AW,Upcountry
17049, 14 ,1,AW,Upcountry
24151, 852 ,153,AW,Upcountry
24151, 355 ,64,AW,Upcountry
17049, 826 ,135,AW,Upcountry
17049, 75 ,13,AW,Upcountry
21892," 1,073 ",180,AW,Upcountry
21892, 660 ,114,AW,Upcountry
24271, 835 ,127,AW,Upcountry
24271, 356 ,68,AW,Upcountry
23768," 1,269 ",230,AW,Upcountry
10698," 2,209 ",369,AW,Upcountry
21422," 1,161 ",203,AW,Upcountry
21422, 529 ,89,AW,Upcountry
14975, 271 ,46,AW,Upcountry
14975," 2,087 ",364,AW,Upcountry
16409, 3 ,1,AW,Upcountry
16409," 2,501 ",422,AW,Upcountry
6409, 842 ,134,AW,Upcountry
11645," 2,980 ",521,AW,Upcountry
11645, 765 ,141,AW,Upcountry
21892, 12 ,1,AW,Upcountry
21892," 2,483 ",438,AW,Upcountry
22533, 24 ,3,AW,Upcountry
14555, 761 ,119,AW,Upcountry
14555, 694 ,139,AW,Upcountry
22533," 2,905 ",491,AW,Upcountry
