"shipping_id"	"party_id"	"truck_type_used"	"weight_demand"	"volume_demand"	"weight_load_taken"	"vehicle_weight_capacity"	"volume_load_taken"	"vehicle_volume_capacity"
"1"	"19413"	"vehicle2"	"548"	"95"	"4109"	"4800"	"735"	"771"	"5302.0"
"1"	"19413"	"vehicle2"	"1446"	"257"	"4109"	"4800"	"735"	"771"	"5302.0"
"1"	"23640"	"vehicle2"	"1263"	"228"	"4109"	"4800"	"735"	"771"	"5602.0"
"1"	"23640"	"vehicle2"	"852"	"155"	"4109"	"4800"	"735"	"771"	"5602.0"
"2"	"23348"	"vehicle5"	"376"	"26"	"2530"	"3600"	"399"	"490"	"2111.0"
"2"	"23348"	"vehicle5"	"335"	"53"	"2530"	"3600"	"399"	"490"	"2111.0"
"2"	"23348"	"vehicle5"	"1819"	"320"	"2530"	"3600"	"399"	"490"	"2111.0"
"3"	"21987"	"vehicle4"	"3096"	"510"	"3096"	"4800"	"510"	"680"	"2781.0"
"4"	"23080"	"vehicle5"	"27"	"8"	"2091"	"3600"	"402"	"490"	"2450.0"
"4"	"23080"	"vehicle5"	"495"	"79"	"2091"	"3600"	"402"	"490"	"2450.0"
"4"	"23080"	"vehicle5"	"1428"	"296"	"2091"	"3600"	"402"	"490"	"2450.0"
"4"	"23080"	"vehicle5"	"72"	"7"	"2091"	"3600"	"402"	"490"	"2450.0"
"4"	"23080"	"vehicle5"	"69"	"12"	"2091"	"3600"	"402"	"490"	"2450.0"
"5"	"23080"	"vehicle5"	"2419"	"394"	"2419"	"3600"	"394"	"490"	"2450.0"
"6"	"23029"	"vehicle4"	"15"	"1"	"3831"	"4800"	"649"	"680"	"2781.0"
"6"	"23029"	"vehicle4"	"2514"	"426"	"3831"	"4800"	"649"	"680"	"2781.0"
"6"	"958"	"vehicle4"	"1302"	"222"	"3831"	"4800"	"649"	"680"	"3081.0"
"7"	"23894"	"vehicle2"	"54"	"4"	"4227"	"4800"	"706"	"771"	"3060.0"
"7"	"25152"	"vehicle2"	"4173"	"702"	"4227"	"4800"	"706"	"771"	"3360.0"
"8"	"25038"	"vehicle4"	"1818"	"296"	"3800"	"4800"	"601"	"680"	"3435.0"
"8"	"25167"	"vehicle4"	"1982"	"305"	"3800"	"4800"	"601"	"680"	"4948.0"
"9"	"21316"	"vehicle4"	"3910"	"677"	"3910"	"4800"	"677"	"680"	"2781.0"
"10"	"23452"	"vehicle5"	"1123"	"195"	"2911"	"3600"	"482"	"490"	"3286.0"
"10"	"15457"	"vehicle5"	"1788"	"287"	"2911"	"3600"	"482"	"490"	"3586.0"
"11"	"22820"	"vehicle5"	"1680"	"312"	"2222"	"3600"	"401"	"490"	"4689.0"
"11"	"22820"	"vehicle5"	"542"	"89"	"2222"	"3600"	"401"	"490"	"4689.0"
"12"	"21367"	"vehicle5"	"374"	"50"	"2367"	"3600"	"376"	"490"	"6058.0"
"12"	"21367"	"vehicle5"	"1993"	"326"	"2367"	"3600"	"376"	"490"	"6058.0"
"13"	"25110"	"vehicle5"	"5"	"0"	"2843"	"3600"	"479"	"490"	"2450.0"
"13"	"25110"	"vehicle5"	"1081"	"180"	"2843"	"3600"	"479"	"490"	"2450.0"
"13"	"22803"	"vehicle5"	"1757"	"299"	"2843"	"3600"	"479"	"490"	"2750.0"
"14"	"24172"	"vehicle4"	"278"	"45"	"3678"	"4800"	"590"	"680"	"2781.0"
"14"	"24172"	"vehicle4"	"3196"	"531"	"3678"	"4800"	"590"	"680"	"2781.0"
