"shipping_id"	"party_id"	"truck_type_used"	"weight_demand"	"volume_demand"	"weight_load_taken"	"vehicle_weight_capacity"	"volume_load_taken"	"vehicle_volume_capacity"
"1"	"21342"	"vehicle4"	"543"	"85"	"3366"	"4800"	"553"	"680"	"3435.0"
"1"	"21342"	"vehicle4"	"777"	"124"	"3366"	"4800"	"553"	"680"	"3435.0"
"1"	"22883"	"vehicle4"	"1237"	"209"	"3366"	"4800"	"553"	"680"	"3975.0"
"1"	"22883"	"vehicle4"	"809"	"135"	"3366"	"4800"	"553"	"680"	"3975.0"
"2"	"21892"	"vehicle2"	"12"	"1"	"4483"	"4800"	"768"	"771"	"9711.0"
"2"	"21892"	"vehicle2"	"1073"	"180"	"4483"	"4800"	"768"	"771"	"9711.0"
"2"	"21892"	"vehicle2"	"2483"	"438"	"4483"	"4800"	"768"	"771"	"9711.0"
"2"	"17049"	"vehicle2"	"14"	"1"	"4483"	"4800"	"768"	"771"	"10515.0"
"2"	"17049"	"vehicle2"	"75"	"13"	"4483"	"4800"	"768"	"771"	"10515.0"
"2"	"17049"	"vehicle2"	"826"	"135"	"4483"	"4800"	"768"	"771"	"10515.0"
"3"	"19507"	"vehicle4"	"1721"	"284"	"3442"	"4800"	"577"	"680"	"9843.0"
"3"	"19507"	"vehicle4"	"658"	"111"	"3442"	"4800"	"577"	"680"	"9843.0"
"3"	"15459"	"vehicle4"	"590"	"103"	"3442"	"4800"	"577"	"680"	"10143.0"
"3"	"15459"	"vehicle4"	"473"	"79"	"3442"	"4800"	"577"	"680"	"10143.0"
"4"	"6882"	"vehicle4"	"227"	"30"	"3857"	"4800"	"612"	"680"	"3435.0"
"4"	"6882"	"vehicle4"	"241"	"40"	"3857"	"4800"	"612"	"680"	"3435.0"
"4"	"6882"	"vehicle4"	"57"	"12"	"3857"	"4800"	"612"	"680"	"3435.0"
"4"	"6882"	"vehicle4"	"120"	"23"	"3857"	"4800"	"612"	"680"	"3435.0"
"4"	"6882"	"vehicle4"	"54"	"7"	"3857"	"4800"	"612"	"680"	"3435.0"
"4"	"6882"	"vehicle4"	"1475"	"194"	"3857"	"4800"	"612"	"680"	"3435.0"
"4"	"6882"	"vehicle4"	"1267"	"235"	"3857"	"4800"	"612"	"680"	"3435.0"
"4"	"6882"	"vehicle4"	"16"	"2"	"3857"	"4800"	"612"	"680"	"3435.0"
"4"	"6882"	"vehicle4"	"400"	"69"	"3857"	"4800"	"612"	"680"	"3435.0"
"5"	"12238"	"vehicle5"	"1947"	"326"	"2786"	"3600"	"468"	"490"	"2572.0"
"5"	"23452"	"vehicle5"	"839"	"142"	"2786"	"3600"	"468"	"490"	"3586.0"
"6"	"24151"	"vehicle5"	"355"	"64"	"2250"	"3600"	"393"	"490"	"9632.0"
"6"	"24151"	"vehicle5"	"852"	"153"	"2250"	"3600"	"393"	"490"	"9632.0"
"6"	"21769"	"vehicle5"	"2"	"1"	"2250"	"3600"	"393"	"490"	"9932.0"
"6"	"21769"	"vehicle5"	"1041"	"175"	"2250"	"3600"	"393"	"490"	"9932.0"
"7"	"15822"	"vehicle5"	"372"	"64"	"2707"	"3600"	"477"	"490"	"2995.0"
"7"	"15822"	"vehicle5"	"2335"	"413"	"2707"	"3600"	"477"	"490"	"2995.0"
"8"	"25038"	"vehicle2"	"5"	"0"	"4057"	"4800"	"702"	"771"	"3775.0"
"8"	"25038"	"vehicle2"	"879"	"143"	"4057"	"4800"	"702"	"771"	"3775.0"
"8"	"939"	"vehicle2"	"3173"	"559"	"4057"	"4800"	"702"	"771"	"4075.0"
"9"	"11645"	"vehicle2"	"765"	"141"	"3745"	"4800"	"662"	"771"	"6000.0"
"9"	"11645"	"vehicle2"	"2980"	"521"	"3745"	"4800"	"662"	"771"	"6000.0"
"10"	"11149"	"vehicle2"	"2097"	"357"	"4457"	"4800"	"768"	"771"	"5826.0"
"10"	"11149"	"vehicle2"	"2"	"1"	"4457"	"4800"	"768"	"771"	"5826.0"
"10"	"14975"	"vehicle2"	"2087"	"364"	"4457"	"4800"	"768"	"771"	"6300.0"
