"shipping_id"	"party_id"	"truck_type_used"	"weight_demand"	"volume_demand"	"weight_load_taken"	"vehicle_weight_capacity"	"volume_load_taken"	"vehicle_volume_capacity"
"1"	"23640"	"vehicle2"	"1263"	"228"	"2115"	"4800"	"383"	"771"	"4283.0"
"1"	"23640"	"vehicle2"	"852"	"155"	"2115"	"4800"	"383"	"771"	"4283.0"
"2"	"19413"	"vehicle2"	"548"	"95"	"4216"	"4800"	"753"	"771"	"5302.0"
"2"	"19413"	"vehicle2"	"1446"	"257"	"4216"	"4800"	"753"	"771"	"5302.0"
"2"	"22820"	"vehicle2"	"542"	"89"	"4216"	"4800"	"753"	"771"	"7606.0"
"2"	"22820"	"vehicle2"	"1680"	"312"	"4216"	"4800"	"753"	"771"	"7606.0"
"3"	"23895"	"vehicle2"	"2759"	"465"	"4061"	"4800"	"687"	"771"	"3060.0"
"3"	"958"	"vehicle2"	"1302"	"222"	"4061"	"4800"	"687"	"771"	"3360.0"
"4"	"23894"	"vehicle2"	"54"	"4"	"3978"	"4800"	"683"	"771"	"3060.0"
"4"	"23894"	"vehicle2"	"14"	"2"	"3978"	"4800"	"683"	"771"	"3060.0"
"4"	"21316"	"vehicle2"	"3910"	"677"	"3978"	"4800"	"683"	"771"	"3360.0"
"5"	"6410"	"vehicle2"	"17"	"3"	"4591"	"4800"	"750"	"771"	"4032.0"
"5"	"6410"	"vehicle2"	"289"	"45"	"4591"	"4800"	"750"	"771"	"4032.0"
"5"	"17606"	"vehicle2"	"360"	"54"	"4591"	"4800"	"750"	"771"	"5410.0"
"5"	"17606"	"vehicle2"	"3925"	"648"	"4591"	"4800"	"750"	"771"	"5410.0"
"6"	"25152"	"vehicle2"	"4173"	"702"	"4173"	"4800"	"702"	"771"	"3060.0"
"7"	"25038"	"vehicle3"	"1818"	"296"	"4289"	"5600"	"699"	"736"	"3776.0"
"7"	"6410"	"vehicle3"	"2471"	"403"	"4289"	"5600"	"699"	"736"	"4332.0"
"8"	"25181"	"vehicle4"	"3281"	"554"	"3281"	"4800"	"554"	"680"	"4781.0"
"9"	"24172"	"vehicle4"	"14"	"1"	"3678"	"4800"	"590"	"680"	"2781.0"
"9"	"24172"	"vehicle4"	"278"	"45"	"3678"	"4800"	"590"	"680"	"2781.0"
"9"	"24172"	"vehicle4"	"190"	"13"	"3678"	"4800"	"590"	"680"	"2781.0"
"9"	"24172"	"vehicle4"	"3196"	"531"	"3678"	"4800"	"590"	"680"	"2781.0"
"10"	"16730"	"vehicle4"	"72"	"10"	"2936"	"4800"	"533"	"680"	"2781.0"
"10"	"16730"	"vehicle4"	"2864"	"523"	"2936"	"4800"	"533"	"680"	"2781.0"
"11"	"23688"	"vehicle4"	"2740"	"440"	"3816"	"4800"	"620"	"680"	"2781.0"
"11"	"23894"	"vehicle4"	"1076"	"180"	"3816"	"4800"	"620"	"680"	"3081.0"
"12"	"23716"	"vehicle4"	"3126"	"534"	"3126"	"4800"	"534"	"680"	"8898.0"
"13"	"24444"	"vehicle4"	"2445"	"421"	"3933"	"4800"	"677"	"680"	"2781.0"
"13"	"24051"	"vehicle4"	"1488"	"256"	"3933"	"4800"	"677"	"680"	"3081.0"
"14"	"21987"	"vehicle4"	"3096"	"510"	"3096"	"4800"	"510"	"680"	"2781.0"
"15"	"18240"	"vehicle4"	"2"	"1"	"3505"	"4800"	"556"	"680"	"2905.0"
